split,dialog_id,ref_split,ref_dialog_id
test,954,train,1940
test,952,train,2031
test,951,train,749
test,949,train,2320
test,943,train,466
test,941,train,3543
test,937,train,2487
test,934,train,2683
test,933,train,3981
test,918,train,3340
test,917,train,1953
test,913,train,5256
test,910,train,1140
test,909,train,3620
test,905,train,3421
test,904,train,1402
test,900,train,2944
test,896,train,1316
test,895,train,753
test,894,train,2635
test,893,train,2007
test,892,train,286
test,884,train,279
test,883,train,3963
test,879,train,7099
test,876,train,2935
test,874,train,2968
test,871,train,9477
test,865,train,2437
test,864,train,229
test,860,train,4039
test,858,train,1582
test,855,train,3228
test,850,train,4432
test,847,train,7779
test,846,train,1677
test,843,train,3332
test,842,train,1259
test,841,train,2937
test,837,train,1209
test,835,train,8135
test,832,train,9799
test,829,train,3853
test,826,train,5426
test,822,train,2121
test,821,train,912
test,817,train,9975
test,814,train,3435
test,813,train,2233
test,810,train,2842
test,808,train,4617
test,806,train,9847
test,803,train,1424
test,799,train,874
test,788,train,2570
test,785,train,3499
test,778,train,3946
test,776,train,3630
test,771,train,6986
test,766,train,6582
test,765,train,1317
test,763,train,4153
test,757,train,943
test,756,train,7679
test,755,train,1151
test,753,train,4302
test,752,train,4537
test,748,train,4276
test,746,train,9687
test,744,train,40
test,736,train,127
test,735,train,2466
test,732,train,2078
test,730,train,8648
test,728,train,1427
test,726,train,416
test,717,train,1729
test,716,train,1268
test,715,train,3907
test,707,train,3006
test,706,train,4364
test,705,train,6739
test,701,train,286
test,700,train,3161
test,699,train,1436
test,695,train,4322
test,693,train,3017
test,684,train,4103
test,683,train,2497
test,682,train,10191
test,676,train,1718
test,672,train,1855
test,662,train,3097
test,660,train,3806
test,655,train,364
test,652,train,3694
test,648,train,6380
test,646,train,395
test,641,train,3332
test,640,train,906
test,639,train,3271
test,637,train,1064
test,636,train,1404
test,631,train,10112
test,622,train,8686
test,615,train,2288
test,611,train,7933
test,607,train,1931
test,605,train,3229
test,601,train,8090
test,590,train,6851
test,586,train,6673
test,585,train,6938
test,582,train,5055
test,580,train,6156
test,579,train,4658
test,576,train,54
test,573,train,7117
test,570,train,3855
test,569,train,5137
test,568,train,10124
test,558,train,4676
test,557,train,10638
test,539,train,7209
test,533,train,8631
test,531,train,9359
test,527,train,8294
test,526,train,1022
test,517,train,6732
test,515,train,5659
test,505,train,8157
test,504,train,8801
test,501,train,4218
test,499,train,1175
test,497,train,6730
test,479,train,10700
test,464,train,6947
test,463,train,8919
test,459,train,1075
test,455,train,10344
test,453,train,10079
test,448,train,6859
test,445,train,7460
test,444,train,9428
test,433,train,8269
test,414,train,9073
test,411,train,10366
test,405,train,9278
test,404,train,6202
test,396,train,1893
test,392,train,1742
test,380,train,9296
test,377,train,713
test,369,train,6962
test,364,train,4547
test,354,train,5156
test,349,train,7911
test,336,train,3703
test,324,train,7962
test,319,train,6923
test,313,train,7999
test,304,train,5735
test,302,train,1496
test,299,train,10728
test,293,train,6493
test,278,train,10398
test,275,train,5121
test,268,train,8729
test,263,train,997
test,259,train,194
test,256,train,10816
test,252,train,4324
test,249,train,1263
test,248,train,7675
test,243,train,4839
test,241,train,6772
test,238,train,7941
test,230,train,4352
test,224,train,8963
test,204,train,4410
test,203,train,9339
test,201,train,7544
test,198,train,3106
test,195,train,10619
test,191,train,5196
test,185,train,2980
test,159,train,3181
test,153,train,8824
test,147,train,7272
test,146,train,9763
test,136,train,7508
test,131,train,2652
test,125,train,993
test,120,train,829
test,116,train,6757
test,108,train,9334
test,106,train,6083
test,95,train,5641
test,82,train,3439
test,76,train,7881
test,75,train,877
test,65,train,4410
test,46,train,7409
test,42,train,3384
test,39,train,4102
test,32,train,7657
test,29,train,10182
test,25,train,4962
test,17,train,9783
test,6,train,4623
